sortOrder,concept_id,level_curated,parent_id,en_label,id_key,is_active,date_range,date_from,date_to,L0_en,L0_ru,L0_zh,L0_kk,L0_ky,L0_tg,L0_tk,L0_uz,H1_en,H1_ru,H1_zh,H1_kk,H1_ky,H1_tg,H1_tk,H1_uz,H2_en,H2_ru,H2_zh,H2_kk,H2_ky,H2_tg,H2_tk,H2_uz,H3_en,H3_ru,H3_zh,H3_kk,H3_ky,H3_tg,H3_tk,H3_uz,Notes_en,Notes_ru,Notes_zh,Notes_ky,Notes_tg,Notes_tk,Notes_uz,H4_en,H4_ru,H4_zh,H4_kk,H4_ky,H4_tg,H4_tk,H4_uz,Notes_kk,join_key_norm
0,,,,,,,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CP-1-0001,1,,Afrighid,L1|Afrighid|NA,True,305-995 CE,305,995,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Afrighid,Афригиды,阿夫里格王朝,Афригидтер,Афригиддер,Африғидҳо,Afrigid,Afrig‘iylar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Afrighid|NA
2,CP-1-0003,1,,Early Antiquity,L1|Early Antiquity|NA,True,329 BCE - 265 CE,-329,265,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Early Antiquity,Ранняя античность,古典时代早期,Ерте антикалық кезең,Байыркы антикалык дуйно,Антиқаи барвақт,Irki Antiki döwri,Ilk antik davr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Early Antiquity|NA
3,CP-1-0005,1,,Empire/dynasty,L1|Empire/dynasty|NA,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Empire/dynasty|NA
4,CP-2-0018,2,CP-1-0005,ACHAEMENID,L2|ACHAEMENID|Empire/dynasty,True,550BCE-330BCE,330,550,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,ACHAEMENID,АХЕМЕНИДЫ,阿契美尼德,Ахеменидтер,Ахемениддер,Ҳахоманишиён,Ahemenid,AHAMONIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|ACHAEMENID|Empire/dynasty
5,CP-2-0019,2,CP-1-0005,CHAGATAI KHANATE,L2|CHAGATAI KHANATE|Empire/dynasty,True,1225 – 1340s CE,1225,1349,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,CHAGATAI KHANATE,ЧАГАТАЙСКОЕ ХАНСТВО,察合台汗国,Шағатай хандығы,ЧАГАТАЙ ХАНДЫГЫ,Хонигарии Чағатой,Çagataý hanlygy,CHIG‘ATOY ULUSI,,,,,,,,,Empire before split,целиком,公元,Бөлүнгөнгө чейинки империя,Империя пеш аз тақсим,Bölünmezden ozal imperiýa,Emperiya bo‘linmasdan oldin Butun,,,,,,,,,,L2|CHAGATAI KHANATE|Empire/dynasty
6,CP-3-0009,3,CP-2-0019,Western Chagatai Khanate (Mawerenahr),L3|Western Chagatai Khanate (Mawerenahr)|CHAGATAI KHANATE,True,1340s–1370 CE,1340,1370,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,CHAGATAI KHANATE,ЧАГАТАЙСКОЕ ХАНСТВО,察合台汗国,Шағатай хандығы,ЧАГАТАЙ ХАНДЫГЫ,Хонигарии Чағатой,Çagataý hanlygy,CHIG‘ATOY ULUSI,Western Chagatai Khanate (Mawerenahr),Мавераннахр (Западное Чагатайское ханство),西察合台汗国,Мауереннахр (Батыс Шағатай хандығы),Мавераннахр (Батыш Чагатай хандыгы),Мовароуннаҳр (Хонигарии Чағатои Ғарбӣ),Günbatar Çagataý hanlygy (Mawerenahr),Movarounnahr (G‘arbiy Chig‘atoy ulusi),,,,,,,,,,,,,,,,,L3|Western Chagatai Khanate (Mawerenahr)|CHAGATAI KHANATE
7,CP-3-0008,3,CP-2-0019,Eastern Chagatai Khanate (Moghulistan),L3|Eastern Chagatai Khanate (Moghulistan)|CHAGATAI KHANATE,True,1340s–1680s CE,1340,1689,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,CHAGATAI KHANATE,ЧАГАТАЙСКОЕ ХАНСТВО,察合台汗国,Шағатай хандығы,ЧАГАТАЙ ХАНДЫГЫ,Хонигарии Чағатой,Çagataý hanlygy,CHIG‘ATOY ULUSI,Eastern Chagatai Khanate (Moghulistan),Моголистан (Восточное Чагатайское ханство),东察合台汗国,Моғолстан (Шығыс Шағатай хандығы),Моголстан (Чыгыш Чагатай хандыгы),Муғулистон (Хонигарии Чағатои Шарқӣ),Gündogar Çagataý hanlygy (Mogulistan),Mug‘uliston (Sharqiy Chig‘atoy ulusi),,,,,,,,,,,,,,,,,L3|Eastern Chagatai Khanate (Moghulistan)|CHAGATAI KHANATE
8,CP-2-0020,2,CP-1-0005,GHAZNAVID,L2|GHAZNAVID|Empire/dynasty,True,997–1186 CE,997,1186,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,GHAZNAVID,ГАЗНЕВИДЫ,塞尔柱,Газневидтер,Газневиддер,Ғазнавиён,Gaznawid,G‘AZNAVIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|GHAZNAVID|Empire/dynasty
9,CP-2-0021,2,CP-1-0005,GRECO-BACTRIAN,L2|GRECO-BACTRIAN|Empire/dynasty,True,256 BCE–125 BCE,-256,-125,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,GRECO-BACTRIAN,ГРЕКО-БАКТРИЙСКИЙ,希腊-巴克特里亚（大夏）,Грек-Бактрия патшалығы,ГРЕК-БАКТРИЯ,Юнону-Бохтар,Grek-Baktriýa,YUNON-BAQTRIYA (DAVLATI),,,,,,,,,,,,,,,,,,,,,,,,,L2|GRECO-BACTRIAN|Empire/dynasty
10,CP-2-0022,2,CP-1-0005,GREEK-MACEDONIAN,L2|GREEK-MACEDONIAN|Empire/dynasty,True,c. 331 BCE to 312 BCE,-331,-312,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,GREEK-MACEDONIAN,Греко-македонский,希腊-马其顿王国时代,Грек-мақедониялық,Грек-македон,Юнону-Мақдунӣ,Grek-Makedon,YUNON-MAKEDON (DAVLATI),,,,,,,,,Preferred term in Kazakhstan for early Hellenistic,Предпочтительный термин в Казахстане для раннего эллинизма,,Казакстанда эрте эллинизм үчүн артыкчылыктуу термин,,Irki ellinçilik üçin Gazagystanda ulanylmak islenyan termin,Qozog‘istonda erta ellinizm davri uchun afzal qilingan atama,,,,,,,,,,L2|GREEK-MACEDONIAN|Empire/dynasty
