vocabulary,title,category,language,labelled_concepts,total_concepts,coverage_percent
address-types,Address Types,cat_location,en,2,2,100.0
address-types,Address Types,cat_location,ru,2,2,100.0
address-types,Address Types,cat_location,zh,2,2,100.0
address-types,Address Types,cat_location,kk,0,2,0.0
address-types,Address Types,cat_location,ky,0,2,0.0
address-types,Address Types,cat_location,tg,0,2,0.0
address-types,Address Types,cat_location,tk,0,2,0.0
address-types,Address Types,cat_location,uz,0,2,0.0
administrative-types,Administrative Types,cat_location,en,28,28,100.0
administrative-types,Administrative Types,cat_location,ru,15,28,53.6
administrative-types,Administrative Types,cat_location,zh,28,28,100.0
administrative-types,Administrative Types,cat_location,kk,0,28,0.0
administrative-types,Administrative Types,cat_location,ky,0,28,0.0
administrative-types,Administrative Types,cat_location,tg,0,28,0.0
administrative-types,Administrative Types,cat_location,tk,0,28,0.0
administrative-types,Administrative Types,cat_location,uz,0,28,0.0
countries,Countries,cat_location,en,12,12,100.0
countries,Countries,cat_location,ru,12,12,100.0
countries,Countries,cat_location,zh,12,12,100.0
countries,Countries,cat_location,kk,0,12,0.0
countries,Countries,cat_location,ky,0,12,0.0
countries,Countries,cat_location,tg,0,12,0.0
countries,Countries,cat_location,tk,0,12,0.0
countries,Countries,cat_location,uz,0,12,0.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,en,5,5,100.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,ru,5,5,100.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,zh,5,5,100.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,kk,0,5,0.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,ky,0,5,0.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,tg,0,5,0.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,tk,0,5,0.0
location-accuracy-assessment,Location Accuracy Assessment,cat_location,uz,0,5,0.0
classifications,Classifications,cat_archaeology,en,5,5,100.0
classifications,Classifications,cat_archaeology,ru,5,5,100.0
classifications,Classifications,cat_archaeology,zh,5,5,100.0
classifications,Classifications,cat_archaeology,kk,0,5,0.0
classifications,Classifications,cat_archaeology,ky,0,5,0.0
classifications,Classifications,cat_archaeology,tg,0,5,0.0
classifications,Classifications,cat_archaeology,tk,0,5,0.0
classifications,Classifications,cat_archaeology,uz,0,5,0.0
designation-types,Designation Types,cat_archaeology,en,12,12,100.0
designation-types,Designation Types,cat_archaeology,ru,12,12,100.0
designation-types,Designation Types,cat_archaeology,zh,11,12,91.7
designation-types,Designation Types,cat_archaeology,kk,0,12,0.0
designation-types,Designation Types,cat_archaeology,ky,0,12,0.0
designation-types,Designation Types,cat_archaeology,tg,0,12,0.0
designation-types,Designation Types,cat_archaeology,tk,0,12,0.0
designation-types,Designation Types,cat_archaeology,uz,0,12,0.0
religions,Religions,cat_archaeology,en,17,17,100.0
religions,Religions,cat_archaeology,ru,17,17,100.0
religions,Religions,cat_archaeology,zh,17,17,100.0
religions,Religions,cat_archaeology,kk,0,17,0.0
religions,Religions,cat_archaeology,ky,0,17,0.0
religions,Religions,cat_archaeology,tg,0,17,0.0
religions,Religions,cat_archaeology,tk,0,17,0.0
religions,Religions,cat_archaeology,uz,0,17,0.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,en,4,4,100.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,ru,4,4,100.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,zh,4,4,100.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,kk,0,4,0.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,ky,0,4,0.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,tg,0,4,0.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,tk,0,4,0.0
beginning-of-existence-types,Beginning of Existence Types,cat_archive,uz,0,4,0.0
content-types,Content Types,cat_archive,en,53,53,100.0
content-types,Content Types,cat_archive,ru,53,53,100.0
content-types,Content Types,cat_archive,zh,52,53,98.1
content-types,Content Types,cat_archive,kk,53,53,100.0
content-types,Content Types,cat_archive,ky,53,53,100.0
content-types,Content Types,cat_archive,tg,53,53,100.0
content-types,Content Types,cat_archive,tk,53,53,100.0
content-types,Content Types,cat_archive,uz,53,53,100.0
copyright-status,Copyright Status,cat_archive,en,3,3,100.0
copyright-status,Copyright Status,cat_archive,ru,3,3,100.0
copyright-status,Copyright Status,cat_archive,zh,3,3,100.0
copyright-status,Copyright Status,cat_archive,kk,3,3,100.0
copyright-status,Copyright Status,cat_archive,ky,3,3,100.0
copyright-status,Copyright Status,cat_archive,tg,3,3,100.0
copyright-status,Copyright Status,cat_archive,tk,3,3,100.0
copyright-status,Copyright Status,cat_archive,uz,3,3,100.0
dataset-types,Dataset Types,cat_archive,en,4,4,100.0
dataset-types,Dataset Types,cat_archive,ru,4,4,100.0
dataset-types,Dataset Types,cat_archive,zh,4,4,100.0
dataset-types,Dataset Types,cat_archive,kk,0,4,0.0
dataset-types,Dataset Types,cat_archive,ky,0,4,0.0
dataset-types,Dataset Types,cat_archive,tg,0,4,0.0
dataset-types,Dataset Types,cat_archive,tk,0,4,0.0
dataset-types,Dataset Types,cat_archive,uz,0,4,0.0
description-types,Description Types,cat_archive,en,11,11,100.0
description-types,Description Types,cat_archive,ru,11,11,100.0
description-types,Description Types,cat_archive,zh,11,11,100.0
description-types,Description Types,cat_archive,kk,0,11,0.0
description-types,Description Types,cat_archive,ky,0,11,0.0
description-types,Description Types,cat_archive,tg,0,11,0.0
description-types,Description Types,cat_archive,tk,0,11,0.0
description-types,Description Types,cat_archive,uz,0,11,0.0
digital-file-formats,Digital File Formats,cat_archive,en,17,17,100.0
digital-file-formats,Digital File Formats,cat_archive,ru,17,17,100.0
digital-file-formats,Digital File Formats,cat_archive,zh,17,17,100.0
digital-file-formats,Digital File Formats,cat_archive,kk,0,17,0.0
digital-file-formats,Digital File Formats,cat_archive,ky,0,17,0.0
digital-file-formats,Digital File Formats,cat_archive,tg,0,17,0.0
digital-file-formats,Digital File Formats,cat_archive,tk,0,17,0.0
digital-file-formats,Digital File Formats,cat_archive,uz,0,17,0.0
end-of-existence-types,End of Existence Types,cat_archive,en,5,5,100.0
end-of-existence-types,End of Existence Types,cat_archive,ru,5,5,100.0
end-of-existence-types,End of Existence Types,cat_archive,zh,5,5,100.0
end-of-existence-types,End of Existence Types,cat_archive,kk,0,5,0.0
end-of-existence-types,End of Existence Types,cat_archive,ky,0,5,0.0
end-of-existence-types,End of Existence Types,cat_archive,tg,0,5,0.0
end-of-existence-types,End of Existence Types,cat_archive,tk,0,5,0.0
end-of-existence-types,End of Existence Types,cat_archive,uz,0,5,0.0
levels,Levels,cat_archive,en,5,5,100.0
levels,Levels,cat_archive,ru,5,5,100.0
levels,Levels,cat_archive,zh,5,5,100.0
levels,Levels,cat_archive,kk,0,5,0.0
levels,Levels,cat_archive,ky,0,5,0.0
levels,Levels,cat_archive,tg,0,5,0.0
levels,Levels,cat_archive,tk,0,5,0.0
levels,Levels,cat_archive,uz,0,5,0.0
name-types,Name Types,cat_archive,en,2,2,100.0
name-types,Name Types,cat_archive,ru,2,2,100.0
